"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,3,99997,99995,-2
2015-05-14,3,99995,99999,4
2015-05-15,3,99999,99978,-21
2015-05-19,3,99978,99957,-21
2015-05-20,2,99957,99995,38
2015-05-21,3,99995,99946,-49
2015-05-22,5,99946,99964,18
2015-05-25,4,99964,99955,-9
2015-05-26,4,99955,99985,30
2015-05-27,2,99985,99977,-8
2015-05-28,4,99977,100051,74
2015-05-29,3,100051,100076,25
2015-06-01,3,100076,100061,-15
2015-06-02,4,100061,100014,-47
2015-06-03,4,100014,100036,22
2015-06-04,2,100036,100065,29
2015-06-05,4,100065,100076,11
2015-06-08,3,100076,100109,33
2015-06-09,2,100109,100009,-100
2015-06-10,3,100009,100011,2
2015-06-11,3,100011,99997,-14
2015-06-12,1,99997,99975,-22
2015-06-15,2,99975,99937,-38
2015-06-16,3,99937,99925,-12
2015-06-17,4,99925,99898,-27
2015-06-18,3,99898,99904,6
2015-06-19,3,99904,99917,13
2015-06-22,4,99917,99891,-26
2015-06-23,3,99891,99860,-31
2015-06-24,2,99860,99902,42
2015-06-25,2,99902,99892,-10
2015-06-26,3,99892,99886,-6
2015-06-29,5,99886,99925,39
2015-06-30,3,99925,99899,-26
2015-07-02,2,99899,99841,-58
2015-07-03,5,99841,99849,8
2015-07-06,4,99849,99833,-16
2015-07-07,2,99833,99828,-5
2015-07-08,4,99828,99834,6
2015-07-09,4,99834,99849,15
2015-07-10,2,99849,99817,-32
2015-07-13,1,99817,99830,13
2015-07-14,3,99830,99779,-51
2015-07-15,3,99779,99762,-17
2015-07-16,4,99762,99773,11
2015-07-17,3,99773,99780,7
2015-07-20,2,99780,99779,-1
2015-07-21,3,99779,99793,14
2015-07-22,3,99793,99800,7
2015-07-23,2,99800,99785,-15
2015-07-24,2,99785,99805,20
2015-07-27,3,99805,99820,15
2015-07-28,2,99820,99810,-10
2015-07-29,1,99810,99712,-98
2015-07-30,4,99712,99668,-44
2015-07-31,2,99668,99722,54
2015-08-04,2,99722,99690,-32
2015-08-05,2,99690,99677,-13
2015-08-06,2,99677,99677,0
2015-08-07,3,99677,99708,31
2015-08-10,3,99708,99658,-50
2015-08-11,3,99658,99630,-28
2015-08-12,3,99630,99613,-17
2015-08-13,3,99613,99621,8
2015-08-14,4,99621,99579,-42
2015-08-17,3,99579,99568,-11
2015-08-18,3,99568,99523,-45
2015-08-19,2,99523,99517,-6
2015-08-20,3,99517,99538,21
2015-08-21,3,99538,99587,49
2015-08-24,2,99587,99580,-7
2015-08-25,2,99580,99723,143
2015-08-26,2,99723,99514,-209
2015-08-27,3,99514,99520,6
2015-08-28,2,99520,99498,-22
2015-08-31,3,99498,99445,-53
2015-09-01,5,99445,99426,-19
2015-09-02,2,99426,99453,27
2015-09-03,2,99453,99445,-8
2015-09-04,3,99445,99469,24
2015-09-08,2,99469,99510,41
2015-09-09,2,99510,99624,114
2015-09-10,3,99624,99573,-51
2015-09-11,2,99573,99587,14
2015-09-14,2,99587,99553,-34
2015-09-15,1,99553,99541,-12
2015-09-16,2,99541,99411,-130
2015-09-17,4,99411,99392,-19
2015-09-18,1,99392,99384,-8
2015-09-21,3,99384,99365,-19
2015-09-22,2,99365,99370,5
2015-09-23,2,99370,99365,-5
2015-09-24,3,99365,99344,-21
2015-09-25,1,99344,99352,8
2015-09-28,4,99352,99358,6
2015-09-29,1,99358,99277,-81
2015-09-30,3,99277,99188,-89
2015-10-01,3,99188,99112,-76
2015-10-02,2,99112,99042,-70
2015-10-05,4,99042,98995,-47
2015-10-06,4,98995,99032,37
2015-10-07,2,99032,99045,13
2015-10-08,3,99045,98987,-58
2015-10-09,2,98987,98988,1
2015-10-13,1,98988,98973,-15
2015-10-14,2,98973,99058,85
2015-10-15,4,99058,99070,12
2015-10-16,3,99070,99067,-3
2015-10-19,3,99067,99085,18
2015-10-20,3,99085,99048,-37
2015-10-21,2,99048,99063,15
2015-10-22,4,99063,99057,-6
2015-10-23,4,99057,99040,-17
2015-10-26,4,99040,99046,6
2015-10-27,2,99046,99019,-27
2015-10-28,1,99019,98972,-47
2015-10-29,4,98972,98986,14
2015-10-30,3,98986,99069,83
2015-11-02,3,99069,99086,17
2015-11-03,2,99086,99086,0
2015-11-04,3,99086,99095,9
2015-11-05,4,99095,99102,7
2015-11-06,3,99102,99099,-3
2015-11-09,3,99099,99143,44
2015-11-10,1,99143,99085,-58
2015-11-11,2,99085,99049,-36
2015-11-12,3,99049,99060,11
2015-11-13,2,99060,99065,5
2015-11-16,4,99065,99003,-62
2015-11-17,2,99003,98969,-34
2015-11-18,3,98969,98974,5
2015-11-19,1,98974,98897,-77
2015-11-20,2,98897,98890,-7
2015-11-23,4,98890,98842,-48
