"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,4,99999,1e+05,1
2015-05-14,4,1e+05,99994,-6
2015-05-15,6,99994,99963,-31
2015-05-19,6,99963,99877,-86
2015-05-20,5,99877,99923,46
2015-05-21,2,99923,99957,34
2015-05-22,5,99957,99982,25
2015-05-25,3,99982,99978,-4
2015-05-26,5,99978,100050,72
2015-05-27,4,100050,100122,72
2015-05-28,4,100122,100230,108
2015-05-29,3,100230,100245,15
2015-06-01,4,100245,100320,75
2015-06-02,6,100320,100348,28
2015-06-03,4,100348,100357,9
2015-06-04,6,100357,100379,22
2015-06-05,5,100379,100332,-47
2015-06-08,6,100332,100316,-16
2015-06-09,3,100316,100340,24
2015-06-10,4,100340,100375,35
2015-06-11,4,100375,100348,-27
2015-06-12,4,100348,100368,20
2015-06-15,6,100368,100350,-18
2015-06-16,3,100350,100336,-14
2015-06-17,5,100336,100307,-29
2015-06-18,6,100307,100257,-50
2015-06-19,4,100257,100224,-33
2015-06-22,4,100224,100221,-3
2015-06-23,4,100221,100259,38
2015-06-24,3,100259,100271,12
2015-06-25,3,100271,100321,50
2015-06-26,4,100321,100333,12
2015-06-29,5,100333,100372,39
2015-06-30,6,100372,100269,-103
2015-07-02,6,100269,100237,-32
2015-07-03,6,100237,100213,-24
2015-07-06,6,100213,100209,-4
2015-07-07,4,100209,100279,70
2015-07-08,7,100279,100217,-62
2015-07-09,6,100217,100163,-54
2015-07-10,4,100163,100156,-7
2015-07-13,5,100156,100140,-16
2015-07-14,4,100140,100181,41
2015-07-15,5,100181,100135,-46
2015-07-16,4,100135,100130,-5
2015-07-17,4,100130,100114,-16
2015-07-20,5,100114,100091,-23
2015-07-21,6,100091,100073,-18
2015-07-22,4,100073,100053,-20
2015-07-23,5,100053,99976,-77
2015-07-24,6,99976,99942,-34
2015-07-27,5,99942,99937,-5
2015-07-28,4,99937,99978,41
2015-07-29,3,99978,100041,63
2015-07-30,6,100041,99981,-60
2015-07-31,5,99981,99975,-6
2015-08-04,4,99975,99994,19
2015-08-05,6,99994,99944,-50
2015-08-06,6,99944,99838,-106
2015-08-07,5,99838,99896,58
2015-08-10,4,99896,99875,-21
2015-08-11,4,99875,99867,-8
2015-08-12,6,99867,99869,2
2015-08-13,4,99869,99824,-45
2015-08-14,5,99824,99844,20
2015-08-17,5,99844,99803,-41
2015-08-18,6,99803,99726,-77
2015-08-19,4,99726,99785,59
2015-08-20,6,99785,99756,-29
2015-08-21,5,99756,99779,23
2015-08-24,7,99779,99738,-41
2015-08-25,8,99738,99531,-207
2015-08-26,6,99531,99655,124
2015-08-27,7,99655,99851,196
2015-08-28,4,99851,99864,13
2015-08-31,3,99864,99851,-13
2015-09-01,6,99851,99782,-69
2015-09-02,5,99782,99667,-115
2015-09-03,9,99667,99621,-46
2015-09-04,5,99621,99608,-13
2015-09-08,5,99608,99582,-26
2015-09-09,5,99582,99557,-25
2015-09-10,4,99557,99525,-32
2015-09-11,3,99525,99532,7
2015-09-14,5,99532,99533,1
2015-09-15,5,99533,99481,-52
2015-09-16,2,99481,99602,121
2015-09-17,4,99602,99585,-17
2015-09-18,4,99585,99622,37
2015-09-21,5,99622,99611,-11
2015-09-22,5,99611,99634,23
2015-09-23,5,99634,99658,24
2015-09-24,6,99658,99594,-64
2015-09-25,7,99594,99517,-77
2015-09-28,6,99517,99451,-66
2015-09-29,7,99451,99402,-49
2015-09-30,4,99402,99475,73
2015-10-01,6,99475,99412,-63
2015-10-02,5,99412,99288,-124
2015-10-05,5,99288,99324,36
2015-10-06,6,99324,99312,-12
2015-10-07,4,99312,99326,14
2015-10-08,3,99326,99373,47
2015-10-09,4,99373,99331,-42
2015-10-13,6,99331,99268,-63
2015-10-14,6,99268,99133,-135
2015-10-15,6,99133,99119,-14
2015-10-16,5,99119,99084,-35
2015-10-19,5,99084,99073,-11
2015-10-20,5,99073,99121,48
2015-10-21,5,99121,99113,-8
2015-10-22,4,99113,99112,-1
2015-10-23,5,99112,99088,-24
2015-10-26,4,99088,99067,-21
2015-10-27,5,99067,99068,1
2015-10-28,3,99068,99149,81
2015-10-29,4,99149,99174,25
2015-10-30,4,99174,99166,-8
2015-11-02,5,99166,99152,-14
2015-11-03,5,99152,99074,-78
2015-11-04,6,99074,99071,-3
2015-11-05,3,99071,99051,-20
2015-11-06,4,99051,99111,60
2015-11-09,3,99111,99165,54
2015-11-10,7,99165,99175,10
2015-11-11,4,99175,99174,-1
2015-11-12,4,99174,99184,10
2015-11-13,2,99184,99184,0
2015-11-16,5,99184,99228,44
2015-11-17,4,99228,99226,-2
2015-11-18,3,99226,99274,48
2015-11-19,7,99274,99234,-40
2015-11-20,6,99234,99178,-56
2015-11-23,5,99178,99158,-20
